GEOID,percentage
1,9.2
3,10.2
5,8.8
7,11.2
9,9.4
11,11.9
13,8.1
15,9.6
17,10.9
19,11.4
21,9.3
23,10.2
25,9.6
27,11.0
29,12.7
31,8.4
