GEOID,65-69,70-74,75-79,80-84,85+,Male,Female,Other,Hispanic,Black,percentage,total_weight,,
2300400,1,0,0,0,0,0,1,0,0,1,8.4,22,1.858715997,
2300400,1,0,0,0,0,0,1,0,1,0,4.8,13,0.629997219,
2300400,1,0,0,0,0,0,1,1,0,0,2.8,4309,121.9446024,
2300400,1,0,0,0,0,1,0,0,0,1,5.7,28,1.602763919,
2300400,1,0,0,0,0,1,0,0,1,0,2.8,61,1.694735449,
2300400,1,0,0,0,0,1,0,1,0,0,2.7,3876,106.3328859,
2300500,0,0,0,0,1,0,1,0,1,0,30.4,41,12.48055822,
2300500,0,0,0,0,1,0,1,1,0,0,31.9,2792,891.2292807,
2300500,0,0,0,0,1,1,0,0,1,0,34.6,6,2.078615332,
2300500,0,0,0,0,1,1,0,1,0,0,27.1,1893,512.9362173,
2300500,0,0,0,1,0,0,1,0,0,1,30.8,6,1.846941164,
2300500,0,0,0,1,0,0,1,0,1,0,27.9,7,1.952354644,
2300500,0,0,0,1,0,0,1,1,0,0,15.3,2561,392.9638454,
2300500,0,0,0,1,0,1,0,0,0,1,33.1,39,12.88983476,
2300500,0,0,0,1,0,1,0,0,1,0,19.6,29,5.694210231,
2300500,0,0,0,1,0,1,0,1,0,0,12.9,1680,216.2666973,
2300500,0,0,1,0,0,0,1,0,1,0,16.3,99,16.15754318,
2300500,0,0,1,0,0,0,1,1,0,0,8.3,4388,363.0927984,
2300500,0,0,1,0,0,1,0,0,0,1,11.3,7,0.789798041,
2300500,0,0,1,0,0,1,0,0,1,0,13.2,16,2.109905032,
2300500,0,0,1,0,0,1,0,1,0,0,7.5,4041,301.1272812,
2300500,0,1,0,0,0,0,1,0,0,1,14.1,5,0.70568055,
2300500,0,1,0,0,0,0,1,0,1,0,7.2,27,1.939279807,
2300500,0,1,0,0,0,0,1,1,0,0,4.8,6527,312.7927611,
2300500,0,1,0,0,0,1,0,0,0,1,10.4,10,1.037426494,
2300500,0,1,0,0,0,1,0,0,1,0,6.4,8,0.508747937,
2300500,0,1,0,0,0,1,0,1,0,0,4.2,5683,238.8314399,
2300500,1,0,0,0,0,0,1,0,0,1,8.4,33,2.788073995,
2300500,1,0,0,0,0,0,1,0,1,0,4.3,84,3.57293833,
2300500,1,0,0,0,0,0,1,1,0,0,2.9,7335,209.781438,
2300500,1,0,0,0,0,1,0,0,0,1,4.9,37,1.821555257,
2300500,1,0,0,0,0,1,0,0,1,0,4.7,41,1.923106277,
2300500,1,0,0,0,0,1,0,1,0,0,2.5,7145,182.1380411,
2300600,0,0,0,0,1,0,1,0,1,0,37.5,23,8.620056106,
2300600,0,0,0,0,1,0,1,1,0,0,35.8,1411,505.7471573,
2300600,0,0,0,0,1,1,0,1,0,0,32.1,632,202.6325095,
2300600,0,0,0,1,0,0,1,1,0,0,17.2,1432,245.6276684,
2300600,0,0,0,1,0,1,0,1,0,0,17.1,1270,217.473977,
2300600,0,0,1,0,0,0,1,0,1,0,19.2,45,8.62965562,
2300600,0,0,1,0,0,0,1,1,0,0,10.3,2420,249.594043,
2300600,0,0,1,0,0,1,0,0,1,0,14.8,30,4.453212936,
2300600,0,0,1,0,0,1,0,1,0,0,8.2,1335,109.3091777,
2300600,0,1,0,0,0,0,1,1,0,0,5.7,3082,174.1596418,
2300600,0,1,0,0,0,1,0,0,0,1,3.6,11,0.393759642,
2300600,0,1,0,0,0,1,0,0,1,0,9.2,89,8.230386581,
2300600,0,1,0,0,0,1,0,1,0,0,4.8,2270,109.570107,
