GEOID,percentage
1,9.1
3,10.8
5,8.6
7,10.4
9,9.5
11,11.0
13,6.7
15,9.4
17,10.9
19,11.8
21,9.7
23,11.2
25,9.3
27,10.2
29,12.6
31,9.0
