GEOID,65-69,70-74,75-79,80-84,85+,Male,Female,Other,Hispanic,Black,percentage,total_weight
2300500,1,0,0,0,0,1,0,0,0,1,7.3,37
2300500,1,0,0,0,0,1,0,0,1,0,5.2,41
2300500,1,0,0,0,0,1,0,1,0,0,3.1,7145
2300600,0,0,0,0,1,0,1,0,1,0,47.7,23
2300600,0,0,0,0,1,0,1,1,0,0,34.5,1411
2300600,0,0,0,0,1,1,0,1,0,0,31.8,632
2300600,0,0,0,1,0,0,1,1,0,0,17.8,1432
2300600,0,0,0,1,0,1,0,1,0,0,16.0,1270
2300600,0,0,1,0,0,0,1,0,1,0,16.0,45
2300600,0,0,1,0,0,0,1,1,0,0,9.9,2420
2300600,0,0,1,0,0,1,0,0,1,0,14.4,30
2300600,0,0,1,0,0,1,0,1,0,0,8.9,1335
2300600,0,1,0,0,0,0,1,1,0,0,6.0,3082
2300600,0,1,0,0,0,1,0,0,0,1,12.3,11
2300600,0,1,0,0,0,1,0,0,1,0,8.9,89
2300600,0,1,0,0,0,1,0,1,0,0,5.3,2270
2300600,1,0,0,0,0,0,1,0,0,1,8.2,7
2300600,1,0,0,0,0,0,1,0,1,0,5.8,102
2300600,1,0,0,0,0,0,1,1,0,0,3.4,3091
2300600,1,0,0,0,0,1,0,0,0,1,7.3,23
2300600,1,0,0,0,0,1,0,1,0,0,3.1,3278
2300700,0,0,0,0,1,0,1,1,0,0,34.5,1340
2300700,0,0,0,0,1,1,0,1,0,0,31.8,931
2300700,0,0,0,1,0,0,1,0,1,0,27.2,6
2300700,0,0,0,1,0,0,1,1,0,0,17.8,1947
2300700,0,0,0,1,0,1,0,1,0,0,16.0,1108
2300700,0,0,1,0,0,0,1,1,0,0,9.9,2196
2300700,0,0,1,0,0,1,0,0,1,0,14.4,27
2300700,0,0,1,0,0,1,0,1,0,0,8.9,1920
2300700,0,1,0,0,0,0,1,1,0,0,6.0,3311
2300700,0,1,0,0,0,1,0,0,0,1,12.3,17
2300700,0,1,0,0,0,1,0,1,0,0,5.3,3058
2300700,1,0,0,0,0,0,1,0,0,1,8.2,3
2300700,1,0,0,0,0,0,1,0,1,0,5.8,55
2300700,1,0,0,0,0,0,1,1,0,0,3.4,4404
2300700,1,0,0,0,0,1,0,1,0,0,3.1,3562
2300800,0,0,0,0,1,0,1,0,1,0,47.7,12
2300800,0,0,0,0,1,0,1,1,0,0,34.5,2955
2300800,0,0,0,0,1,1,0,0,1,0,44.7,13
2300800,0,0,0,0,1,1,0,1,0,0,31.8,1328
2300800,0,0,0,1,0,0,1,0,0,1,35.0,42
2300800,0,0,0,1,0,0,1,0,1,0,27.2,23
2300800,0,0,0,1,0,0,1,1,0,0,17.8,2522
2300800,0,0,0,1,0,1,0,1,0,0,16.0,1816
2300800,0,0,1,0,0,0,1,0,0,1,21.6,64
2300800,0,0,1,0,0,0,1,0,1,0,16.0,42
2300800,0,0,1,0,0,0,1,1,0,0,9.9,3359
2300800,0,0,1,0,0,1,0,0,0,1,19.6,68
2300800,0,0,1,0,0,1,0,0,1,0,14.4,83
2300800,0,0,1,0,0,1,0,1,0,0,8.9,3419
2300800,0,1,0,0,0,0,1,0,0,1,13.7,21
2300800,0,1,0,0,0,0,1,0,1,0,9.9,58
2300800,0,1,0,0,0,0,1,1,0,0,6.0,5654
2300800,0,1,0,0,0,1,0,0,1,0,8.9,69
2300800,0,1,0,0,0,1,0,1,0,0,5.3,5321
2300800,1,0,0,0,0,0,1,0,1,0,5.8,41
2300800,1,0,0,0,0,0,1,1,0,0,3.4,7006
2300800,1,0,0,0,0,1,0,1,0,0,3.1,6554
2300900,0,0,0,0,1,0,1,1,0,0,34.5,2316
2300900,0,0,0,0,1,1,0,1,0,0,31.8,883
2300900,0,0,0,1,0,0,1,0,1,0,27.2,1
2300900,0,0,0,1,0,0,1,1,0,0,17.8,1571
2300900,0,0,0,1,0,1,0,0,1,0,24.8,30
2300900,0,0,0,1,0,1,0,1,0,0,16.0,1860
2300900,0,0,1,0,0,0,1,1,0,0,9.9,2714
2300900,0,0,1,0,0,1,0,1,0,0,8.9,2058
2300900,0,1,0,0,0,0,1,0,1,0,9.9,78
2300900,0,1,0,0,0,0,1,1,0,0,6.0,4292
