GEOID,av_education,affected_population,total_population,percentage
2501001,13.39694826,438.9459774,4146,10.58721605
2501002,13.51114984,549.5498895,5243,10.4815924
2501003,11.88826066,484.9143742,4346,11.15771685
2501004,12.18406323,821.4834837,6051,13.57599543
2501101,12.60913997,362.2388245,2633,13.7576462
2501102,13.50999027,473.4128064,5130,9.228319812
2501103,15.2834187,533.6755549,6283,8.493960765
2501104,14.31001964,579.1747885,6885,8.412124743
2501201,14.96228627,664.8132775,7929,8.384579108
2501300,14.03802137,1591.12364,16918,9.40491571
2501301,15.46912205,759.5353845,9276,8.188177927
2501400,15.42332699,1596.340285,16657,9.5836002
2501600,14.41182082,2144.662158,24487,8.758370391
2501900,11.93222397,2507.522192,16658,15.05296069
2501901,13.3494873,2529.062031,21057,12.01055246
2501902,13.33791016,2557.607773,22043,11.60281165
2502400,14.71044617,1361.281486,15656,8.694950731
2502800,13.98604734,2392.723393,21958,10.89681844
2503301,13.51738186,936.774849,6869,13.63771799
2503302,13.54355784,1983.37589,15771,12.57609467
2503303,12.38925056,1619.083426,11764,13.76303491
2503304,11.27652807,2862.824351,14142,20.24341926
2503305,14.09433107,2331.355691,17242,13.52137624
2503306,11.99124582,1877.457186,12959,14.48767024
2503400,16.90014075,1751.322365,21342,8.205989902
2503500,16.45337766,1542.687444,16055,9.608766393
2503601,14.55722573,1702.090459,16920,10.05963628
2503602,13.78976459,2219.033742,18058,12.28836938
2503603,13.27178173,1990.044093,17046,11.67455176
2503900,14.1275684,2118.455849,21160,10.01160609
2504000,12.00356717,2459.254949,16956,14.50374469
2504200,13.36699428,1758.115282,18335,9.588848007
2504301,13.67877869,1966.151638,20051,9.805753518
2504302,11.78743937,2199.993641,15534,14.16244136
2504303,12.53378457,2005.374806,16446,12.19369334
2504500,11.57764544,2164.647325,15788,13.71071272
2504700,15.06718531,2627.87205,30861,8.515187617
2504800,15.47156025,2855.175278,32167,8.876100594
2504901,13.65048003,1466.411549,15786,9.289316794
2504902,13.58604802,1404.244529,15939,8.810116876
2504903,14.84245054,2129.237516,24218,8.791962654
3300100,14.18501058,2622.629241,29302,8.950342096
3300200,14.32092823,2252.509104,26300,8.564673399
3300201,14.70927212,580.6129884,6962,8.33974416
3300300,14.10276228,1914.816309,19954,9.596152696
3300301,14.43180868,427.6490613,5405,7.912101042
3300400,14.08502699,1638.274215,18094,9.054240164
3300401,14.6622523,360.5880786,4492,8.027339239
3300500,14.23721216,1928.093325,20858,9.243903177
3300501,14.65141233,357.0892008,4580,7.796707442
3300600,14.64212401,1257.746506,15761,7.980118685
3300601,13.83682723,337.4398472,3483,9.688195441
3300602,14.44697846,310.7406852,3624,8.574522218
3300603,14.4595767,352.5995236,3696,9.540030399
3300700,13.92740463,1691.279947,19211,8.803705933
3300701,14.40232599,521.810273,6190,8.429891325
3300800,13.18120998,1657.476109,13184,12.57187583
3300801,14.70256159,731.6815018,8848,8.269456394
3300900,13.80744239,1771.852062,18771,9.439305643
3301000,14.55812323,2961.519842,33142,8.935851311
4400101,13.06612918,2294.622227,21846,10.50362642
4400102,12.52530545,2752.984628,23118,11.9084031
4400103,12.68985773,3361.791132,22548,14.90948702
4400104,12.947435,2276.200629,18232,12.48464584
4400105,13.36635011,751.5495193,6831,11.00204244
4400106,11.70930725,632.5235051,4893,12.92711026
4400107,13.87815471,589.5717551,5551,10.62100081
4400200,13.71342905,699.760366,7211,9.704068312
4400201,13.53678249,2654.968752,25663,10.34551203
4400300,14.6591939,2990.666415,30789,9.713424975
4400400,14.99392149,2413.678213,28414,8.49467943
5000100,14.27482769,3017.429793,34920,8.64097879
5000200,14.14887529,2673.512551,30663,8.719018201
5000300,14.64149714,2469.803978,30284,8.155474765
5000400,14.31181288,3037.24635,34464,8.812808582
