GEOID,percentage
1,9.106241868
2,10.8318862
3,8.618275944
4,10.40220733
5,9.494772733
6,11.03170971
7,6.708882381
8,9.388949539
9,10.91248663
10,11.76984494
11,9.747632379
12,11.22916129
13,9.342530211
14,10.24181983
15,12.57753207
16,9.025959452
