percentage,GEOID,name,county,countyfip
8.4,1,York District,16,31
8.8,2,Cumberland District,3,5
10.0,3,Western Maine District,"1,9,4","1,17,7"
9.7,4,Mid Coast District,"7,8,12,14","13,15,23,27"
11.2,5,Central Maine District,"6,13","11,25"
11.1,6,Penquis District,"10,11","19,21"
10.6,7,Downeast District,"5,15","9,29"
10.2,8,Aroostook District,2,3
